"docid","sentid","sentiment","count"
1,1,"anger",68
1,2,"anticipation",316
1,3,"disgust",75
1,4,"fear",165
1,5,"joy",195
1,6,"sadness",59
1,7,"surprise",62
1,8,"trust",794
2,1,"anger",46
2,2,"anticipation",83
2,3,"disgust",39
2,4,"fear",106
2,5,"joy",61
2,6,"sadness",51
2,7,"surprise",60
2,8,"trust",230
3,1,"anger",116
3,2,"anticipation",324
3,3,"disgust",97
3,4,"fear",260
3,5,"joy",182
3,6,"sadness",95
3,7,"surprise",95
3,8,"trust",894
4,1,"anger",79
4,2,"anticipation",342
4,3,"disgust",51
4,4,"fear",190
4,5,"joy",225
4,6,"sadness",68
4,7,"surprise",67
4,8,"trust",975
5,1,"anger",85
5,2,"anticipation",358
5,3,"disgust",60
5,4,"fear",224
5,5,"joy",227
5,6,"sadness",86
5,7,"surprise",76
5,8,"trust",1035
7,1,"anger",57
7,2,"anticipation",0
7,3,"disgust",0
7,4,"fear",0
7,5,"joy",0
7,6,"sadness",0
7,7,"surprise",0
7,8,"trust",3
8,1,"anger",255
8,2,"anticipation",506
8,3,"disgust",175
8,4,"fear",463
8,5,"joy",349
8,6,"sadness",407
8,7,"surprise",138
8,8,"trust",732
9,1,"anger",5100
9,2,"anticipation",15694
9,3,"disgust",3521
9,4,"fear",15959
9,5,"joy",6674
9,6,"sadness",7747
9,7,"surprise",10520
9,8,"trust",26762
10,1,"anger",2
10,2,"anticipation",7
10,3,"disgust",5
10,4,"fear",6
10,5,"joy",4
10,6,"sadness",2
10,7,"surprise",10
10,8,"trust",19
